oportunidades,hits,h_hat,delta_rel,z,p_val,stability_score,signos_consistentes,delta_rel_sub,p_val_sub,oportunidades_sub,delta_rel_2015-01-01_2018-12-31,p_val_2015-01-01_2018-12-31,oportunidades_2015-01-01_2018-12-31,recencia_bin,numero,recencia_min,recencia_max,clasificacion_hazard_numero,delta_rel_2011-10-19_2014-12-31,p_val_2011-10-19_2014-12-31,oportunidades_2011-10-19_2014-12-31
214,11,0.0514018691588785,0.7133956386292835,1.835321265992482,0.033229050962283666,0.0,True,{},{},{},,,,46-60,79,46,60,ninguno,,,
231,3,0.012987012987012988,-0.5670995670995671,-1.5157935891297007,0.9352142231885182,0.0,True,{},{},{},,,,46-60,80,46,60,ninguno,,,
226,4,0.017699115044247787,-0.41002949852507375,-1.0840369405866188,0.8608257898461267,0.0,True,{},{},{},,,,46-60,81,46,60,ninguno,,,
259,7,0.02702702702702703,-0.09909909909909902,-0.2804751239613603,0.6104434959671198,0.0,True,{},{},{},,,,46-60,82,46,60,ninguno,,,
286,8,0.027972027972027972,-0.06759906759906757,-0.20104740992765302,0.5796692484670012,0.0,True,{},{},{},,,,46-60,83,46,60,ninguno,,,
319,13,0.04075235109717868,0.3584117032392894,1.125776772891602,0.13013000900834082,0.0,True,{},{},{},,,,46-60,84,46,60,ninguno,,,
224,12,0.05357142857142857,0.7857142857142857,2.068061353396906,0.01931712709223391,0.0,True,{},{},{},,,,46-60,85,46,60,ninguno,,,
298,9,0.030201342281879196,0.006711409395973242,0.020374953387041636,0.4918721320020516,0.0,True,{},{},{},,,,46-60,86,46,60,ninguno,,,
294,11,0.03741496598639456,0.24716553287981863,0.7453089456126994,0.22804248723169157,0.0,True,{},{},{},,,,46-60,87,46,60,ninguno,,,
239,7,0.029288702928870293,-0.0237099023709902,-0.06446195555910045,0.5256988004271479,0.0,True,{},{},{},,,,46-60,88,46,60,ninguno,,,
268,12,0.04477611940298507,0.4925373134328358,1.4180165329885608,0.07809296896441614,0.0,True,{},{},{},,,,46-60,89,46,60,ninguno,,,
311,5,0.01607717041800643,-0.4640943193997856,-1.43933275026329,0.9249718659871983,0.0,True,{},{},{},,,,46-60,90,46,60,ninguno,,,
245,9,0.036734693877551024,0.2244897959183675,0.6179515238596972,0.26830364688297903,0.0,True,{},{},{},,,,46-60,91,46,60,ninguno,,,
255,7,0.027450980392156862,-0.08496732026143788,-0.2386144674840904,0.5942977271428784,0.0,True,{},{},{},,,,46-60,92,46,60,ninguno,,,
252,4,0.015873015873015872,-0.47089947089947093,-1.3146290748870055,0.9056827031664438,0.0,True,{},{},{},,,,46-60,93,46,60,ninguno,,,
255,8,0.03137254901960784,0.04575163398692813,0.12848471326066435,0.44888269750194504,0.0,True,{},{},{},,,,46-60,94,46,60,ninguno,,,
273,9,0.03296703296703297,0.09890109890109897,0.28738043701199706,0.38691051936683885,0.0,True,{},{},{},,,,46-60,95,46,60,ninguno,,,
274,7,0.025547445255474453,-0.14841849148418487,-0.4320540244124991,0.6671489256705803,0.0,True,{},{},{},,,,46-60,96,46,60,ninguno,,,
326,6,0.018404907975460124,-0.3865030674846625,-1.2272597902964046,0.8901375183052261,0.0,True,{},{},{},,,,46-60,97,46,60,ninguno,,,
317,7,0.022082018927444796,-0.26393270241850675,-0.8264138669299265,0.7957153200675549,0.0,True,{},{},{},,,,46-60,98,46,60,ninguno,,,
328,8,0.024390243902439025,-0.18699186991869912,-0.5955721849403697,0.7242694685139088,0.0,True,{},{},{},,,,46-60,99,46,60,ninguno,,,
344,7,0.020348837209302327,-0.32170542635658905,-1.0493306730217133,0.8529870232362331,0.0,True,{},{},{},,,,6-10,00,6,10,ninguno,,,
291,11,0.037800687285223365,0.26002290950744555,0.7800687285223366,0.21767521097809686,0.0,True,{},{},{},,,,6-10,01,6,10,ninguno,,,
315,8,0.025396825396825397,-0.1534391534391534,-0.4789235917005907,0.6840035065108101,0.0,True,{},{},{},,,,6-10,02,6,10,ninguno,,,
313,8,0.025559105431309903,-0.14802981895633655,-0.46057052064132603,0.6774466171920931,0.0,True,{},{},{},,,,6-10,03,6,10,ninguno,,,
326,12,0.03680981595092025,0.22699386503067498,0.720771622872492,0.23552501870296796,0.0,True,{},{},{},,,,6-10,04,6,10,ninguno,,,
322,8,0.024844720496894408,-0.1718426501035197,-0.5422925744094526,0.706191514891774,0.0,True,{},{},{},,,,6-10,05,6,10,ninguno,,,
346,16,0.046242774566473986,0.5414258188824662,1.7711354335099554,0.03826909147830788,0.0,True,{},{},{},,,,6-10,06,6,10,ninguno,,,
313,10,0.03194888178913738,0.06496272630457933,0.20212087596489905,0.4199111140021788,0.0,True,{},{},{},,,,6-10,07,6,10,ninguno,,,
322,10,0.031055900621118012,0.035196687370600444,0.11107197307181553,0.4557796367223388,0.0,True,{},{},{},,,,6-10,08,6,10,ninguno,,,
313,10,0.03194888178913738,0.06496272630457933,0.20212087596489905,0.4199111140021788,0.0,True,{},{},{},,,,6-10,09,6,10,ninguno,,,
363,13,0.03581267217630854,0.19375573921028474,0.6492061843733145,0.2581025574400248,0.0,True,{},{},{},,,,6-10,10,6,10,ninguno,,,
360,10,0.027777777777777776,-0.0740740740740741,-0.2471679992533546,0.5976108950146419,0.0,True,{},{},{},,,,6-10,11,6,10,ninguno,,,
295,4,0.013559322033898305,-0.5480225988700564,-1.655328666564523,0.9510710764753088,0.0,True,{},{},{},,,,6-10,12,6,10,ninguno,,,
342,10,0.029239766081871343,-0.02534113060428852,-0.08241643038269597,0.5328422145293216,0.0,True,{},{},{},,,,6-10,13,6,10,ninguno,,,
352,8,0.022727272727272728,-0.24242424242424238,-0.7998750292892474,0.7881083966476659,0.0,True,{},{},{},,,,6-10,14,6,10,ninguno,,,
334,6,0.017964071856287425,-0.40119760479041916,-1.289455399810517,0.9013800939203962,0.0,True,{},{},{},,,,6-10,15,6,10,ninguno,,,
313,11,0.03514376996805112,0.17145899893503727,0.5334665742680116,0.29685532169805173,0.0,True,{},{},{},,,,6-10,16,6,10,ninguno,,,
356,11,0.03089887640449438,0.02996254681647941,0.09942108190462426,0.46040197237485864,0.0,True,{},{},{},,,,6-10,17,6,10,ninguno,,,
290,13,0.04482758620689655,0.4942528735632184,1.48020873295468,0.06940877528997837,0.0,True,{},{},{},,,,6-10,18,6,10,ninguno,,,
355,10,0.028169014084507043,-0.0610328638497652,-0.20223330790738286,0.5801328324440269,0.0,True,{},{},{},,,,6-10,19,6,10,ninguno,,,
275,5,0.01818181818181818,-0.3939393939393939,-1.1488690226654374,0.8746950036309031,0.0,True,{},{},{},,,,6-10,20,6,10,ninguno,,,
320,7,0.021875,-0.27083333333333337,-0.852024070776249,0.8028996338373382,0.0,True,{},{},{},,,,6-10,21,6,10,ninguno,,,
308,11,0.03571428571428571,0.19047619047619047,0.5878828826820982,0.2783054533111474,0.0,True,{},{},{},,,,6-10,22,6,10,ninguno,,,
340,7,0.020588235294117647,-0.3137254901960784,-1.0173350919469208,0.8455029758848487,0.0,True,{},{},{},,,,6-10,23,6,10,ninguno,,,
381,10,0.026246719160104987,-0.12510936132983375,-0.42946428712902246,0.6662073109130393,0.0,True,{},{},{},,,,6-10,24,6,10,ninguno,,,
330,9,0.02727272727272727,-0.09090909090909093,-0.290428375076665,0.6142557307247758,0.0,True,{},{},{},,,,6-10,25,6,10,ninguno,,,
355,10,0.028169014084507043,-0.0610328638497652,-0.20223330790738286,0.5801328324440269,0.0,True,{},{},{},,,,6-10,26,6,10,ninguno,,,
375,8,0.021333333333333333,-0.28888888888888886,-0.9838326532374163,0.837401099311705,0.0,True,{},{},{},,,,6-10,27,6,10,ninguno,,,
327,7,0.021406727828746176,-0.28644240570846075,-0.9109319800111227,0.8188343928751743,0.0,True,{},{},{},,,,6-10,28,6,10,ninguno,,,
315,17,0.05396825396825397,0.7989417989417991,2.493705598165146,0.006320867404713589,0.0,True,{},{},{},,,,6-10,29,6,10,ninguno,,,
328,11,0.03353658536585366,0.11788617886178873,0.3754694209406679,0.3536556921286735,0.0,True,{},{},{},,,,6-10,30,6,10,ninguno,,,
395,16,0.04050632911392405,0.3502109704641351,1.2240609813266459,0.11046461196210014,0.0,True,"{""2015-01-01_2018-12-31"": 0.4705882352941178}","{""2015-01-01_2018-12-31"": 0.1185955971862498}","{""2015-01-01_2018-12-31"": 204}",0.4705882352941178,0.1185955971862498,204.0,6-10,31,6,10,ninguno,,,
342,10,0.029239766081871343,-0.02534113060428852,-0.08241643038269597,0.5328422145293216,0.0,True,{},{},{},,,,6-10,32,6,10,ninguno,,,
328,10,0.03048780487804878,0.016260162601626032,0.05178888564698871,0.4793484558183823,0.0,True,{},{},{},,,,6-10,33,6,10,ninguno,,,
343,13,0.037900874635568516,0.2633624878522839,0.8577796451710562,0.1955070757065665,0.0,True,{},{},{},,,,6-10,34,6,10,ninguno,,,
299,8,0.026755852842809364,-0.10813823857302117,-0.3288437905343827,0.6288631189755663,0.0,True,{},{},{},,,,6-10,35,6,10,ninguno,,,
285,9,0.031578947368421054,0.052631578947368494,0.15625847779496607,0.4379146420781151,0.0,True,{},{},{},,,,6-10,36,6,10,ninguno,,,
307,11,0.035830618892508145,0.1943539630836049,0.598876606328791,0.27462758626979467,0.0,True,{},{},{},,,,6-10,37,6,10,ninguno,,,
339,7,0.02064896755162242,-0.31170108161258603,-1.009282907991006,0.8435805125935207,0.0,True,{},{},{},,,,6-10,38,6,10,ninguno,,,
361,17,0.04709141274238227,0.5697137580794092,1.903641081822415,0.028478472293449755,0.0,True,{},{},{},,,,6-10,39,6,10,ninguno,,,
323,7,0.021671826625386997,-0.2776057791537667,-0.877413928532666,0.8098690747625261,0.0,True,{},{},{},,,,6-10,40,6,10,ninguno,,,
339,6,0.017699115044247787,-0.41002949852507375,-1.3276686833824904,0.9078562082278335,0.0,True,{},{},{},,,,6-10,41,6,10,ninguno,,,
338,12,0.03550295857988166,0.18343195266272197,0.5930729270995394,0.2765661738701342,0.0,True,{},{},{},,,,6-10,42,6,10,ninguno,,,
344,7,0.020348837209302327,-0.32170542635658905,-1.0493306730217133,0.8529870232362331,0.0,True,{},{},{},,,,6-10,43,6,10,ninguno,,,
312,9,0.028846153846153848,-0.03846153846153837,-0.11947545944002887,0.5475506593551696,0.0,True,{},{},{},,,,6-10,44,6,10,ninguno,,,
321,8,0.024922118380062305,-0.1692627206645898,-0.5333208881870074,0.7030942646905189,0.0,True,{},{},{},,,,6-10,45,6,10,ninguno,,,
347,13,0.037463976945244955,0.24879923150816521,0.8150580332296046,0.20751954610165554,0.0,True,{},{},{},,,,6-10,46,6,10,ninguno,,,
311,13,0.04180064308681672,0.39335476956055737,1.2199425389067606,0.11124332918667339,0.0,True,{},{},{},,,,6-10,47,6,10,ninguno,,,
297,2,0.006734006734006734,-0.7755331088664422,-2.350462508175196,0.9906249517613489,0.0,True,{},{},{},,,,6-10,48,6,10,ninguno,,,
352,6,0.017045454545454544,-0.4318181818181818,-1.424777395921472,0.9228892208256058,0.0,True,{},{},{},,,,6-10,49,6,10,ninguno,,,
326,5,0.015337423312883436,-0.4887525562372188,-1.5519316924912208,0.939660715636164,0.0,True,{},{},{},,,,6-10,50,6,10,ninguno,,,
379,14,0.036939313984168866,0.23131046613896225,0.7919352037598113,0.21419922943933523,0.0,True,{},{},{},,,,6-10,51,6,10,ninguno,,,
273,10,0.03663003663003663,0.2210012210012211,0.642171099989771,0.26038104765761116,0.0,True,{},{},{},,,,6-10,52,6,10,ninguno,,,
307,6,0.019543973941368076,-0.34853420195439744,-1.0739630761538645,0.8585803845396055,0.0,True,{},{},{},,,,6-10,53,6,10,ninguno,,,
331,7,0.021148036253776436,-0.2950654582074521,-0.9440763732362559,0.8274346890342832,0.0,True,{},{},{},,,,6-10,54,6,10,ninguno,,,
327,10,0.03058103975535168,0.01936799184505608,0.061593265552353324,0.4754433700360552,0.0,True,{},{},{},,,,6-10,55,6,10,ninguno,,,
346,8,0.023121387283236993,-0.22928709055876687,-0.7500537956857102,0.7733888471909774,0.0,True,{},{},{},,,,6-10,56,6,10,ninguno,,,
328,7,0.021341463414634148,-0.2886178861788617,-0.9192527202340488,0.8210182993040867,0.0,True,{},{},{},,,,6-10,57,6,10,ninguno,,,
318,8,0.025157232704402517,-0.16142557651991607,-0.5062449061377133,0.6936576329708358,0.0,True,{},{},{},,,,6-10,58,6,10,ninguno,,,
334,14,0.041916167664670656,0.39720558882235524,1.2766249978223527,0.1008673360616751,0.0,True,{},{},{},,,,6-10,59,6,10,ninguno,,,
375,11,0.029333333333333333,-0.022222222222222206,-0.07567943486441664,0.5301629311676673,0.0,True,{},{},{},,,,6-10,60,6,10,ninguno,,,
355,4,0.011267605633802818,-0.6244131455399061,-2.069002303975531,0.9807270647515712,0.0,False,"{""2015-01-01_2018-12-31"": -0.6747967479674796}","{""2015-01-01_2018-12-31"": 0.9553519405185333}","{""2015-01-01_2018-12-31"": 205}",-0.6747967479674796,0.9553519405185333,205.0,6-10,61,6,10,ninguno,,,
326,6,0.018404907975460124,-0.3865030674846625,-1.2272597902964046,0.8901375183052261,0.0,True,{},{},{},,,,6-10,62,6,10,ninguno,,,
325,17,0.052307692307692305,0.7435897435897436,2.3574898499908623,0.009199479142041356,0.0,True,{},{},{},,,,6-10,63,6,10,ninguno,,,
329,13,0.03951367781155015,0.3171225937183384,1.011579207542529,0.15586964581251259,0.0,True,{},{},{},,,,6-10,64,6,10,ninguno,,,
294,9,0.030612244897959183,0.020408163265306138,0.061539270738663165,0.4754648700646079,0.0,True,{},{},{},,,,6-10,65,6,10,ninguno,,,
355,17,0.04788732394366197,0.5962441314553991,1.9756638541721236,0.024096430669697747,0.0,True,{},{},{},,,,6-10,66,6,10,ninguno,,,
319,12,0.03761755485893417,0.25391849529780575,0.7975619702992982,0.2125623637097209,0.0,True,{},{},{},,,,6-10,67,6,10,ninguno,,,
375,14,0.037333333333333336,0.2444444444444446,0.832473783508583,0.20257078504253218,0.0,True,{},{},{},,,,6-10,68,6,10,ninguno,,,
331,9,0.027190332326283987,-0.09365558912386707,-0.29965564065178085,0.6177800809478268,0.0,False,"{""2015-01-01_2018-12-31"": -0.014778325123152719}","{""2015-01-01_2018-12-31"": 0.5147692629001637}","{""2015-01-01_2018-12-31"": 203}",-0.014778325123152719,0.5147692629001637,203.0,6-10,69,6,10,ninguno,,,
337,12,0.03560830860534125,0.18694362017804164,0.6035320797395454,0.27307739059607905,0.0,True,{},{},{},,,,6-10,70,6,10,ninguno,,,
353,15,0.042492917847025496,0.41643059490084994,1.3759566207472134,0.08441753190751285,0.0,True,{},{},{},,,,6-10,71,6,10,ninguno,,,
310,5,0.016129032258064516,-0.46236559139784944,-1.4316640318213922,0.9238800026015623,0.0,True,{},{},{},,,,6-10,72,6,10,ninguno,,,
328,5,0.01524390243902439,-0.491869918699187,-1.5666137908214073,0.9413975038129974,0.0,True,{},{},{},,,,6-10,73,6,10,ninguno,,,
333,8,0.024024024024024024,-0.19919919919919918,-0.6392702076251638,0.7386764169572113,0.0,True,{},{},{},,,,6-10,74,6,10,ninguno,,,
281,10,0.03558718861209965,0.18623962040332162,0.5490349584509646,0.2914907296525605,0.0,True,{},{},{},,,,6-10,75,6,10,ninguno,,,
